公司,代號,產業,族群,子族群,供應鏈位置,主要業務,供應對象,備註
環球晶,6488,半導體,上游材料,矽晶圓·磊晶,上游,矽晶圓、SiC基板,晶圓代工;記憶體,
台勝科,3532,半導體,上游材料,矽晶圓·磊晶,上游,矽晶圓、磊晶片,晶圓代工;記憶體,
合晶,6182,半導體,上游材料,矽晶圓·磊晶,上游,矽晶圓、磊晶片,晶圓代工;記憶體,另跨足SiC/GaN磊晶（光通訊）及矽光子SOI材料
嘉晶,3016,半導體,上游材料,矽晶圓·磊晶,上游,矽磊晶片、SiC/GaN磊晶片,晶圓代工,矽磊晶約占75-80%，化合物半導體磊晶約占15-20%
台特化,4772,半導體,上游材料,化學品·氣體·靶材,上游,電子級特殊氣體、化學材料,晶圓代工;記憶體,矽乙烷/矽丙烷用於CVD製程，7奈米以下先進製程材料
中華化,1727,半導體,上游材料,化學品·氣體·靶材,上游,電子級硫酸、蝕刻液,晶圓代工;記憶體,電子化學品約占營收24%；另有基礎/特用化學品等非半導體業務
光洋科,1785,半導體,上游材料,化學品·氣體·靶材,上游,貴金屬材料、濺鍍靶材,晶圓代工;記憶體,貴金屬材料占營收約85.6%；儲存媒體(硬碟)材料實為最大宗業務，半導體僅其一
聯發科,2454,半導體,IC設計,,中游,手機/AI/車用SoC設計,系統／伺服器,族群內僅此一家，子族群欄留空（原「平台SoC」子族群因僅一家已合併上收）
力旺,3529,半導體,IP／ASIC,矽智財,中游,嵌入式非揮發記憶體IP授權,晶圓代工;IC設計,權利金(依代工廠量產片數)占營收67-85%
M31,6643,半導體,IP／ASIC,矽智財,中游,高速介面/類比矽智財IP,IC設計;晶圓代工,授權金約占營收85%
世芯-KY,3661,半導體,IP／ASIC,ASIC設計服務,中游,客製化ASIC、SoC設計代工,系統／伺服器,
創意,3443,半導體,IP／ASIC,ASIC設計服務,中游,ASIC設計代工、IP授權,系統／伺服器;IC設計,台積電轉投資，Turnkey業務占營收78.5%
台積電,2330,半導體,晶圓代工,,中游,晶圓代工、IC製造服務,封測,先進封裝(CoWoS等)業務已跨入封測領域，核心仍屬晶圓代工
漢磊,3707,半導體,晶圓代工,,中游,SiC/GaN功率半導體晶圓代工,封測,亦屬：上游材料（磊晶及化合物半導體事業另生產磊晶片）
華邦電,2344,半導體,記憶體,IDM自有產能,中游,DRAM、NOR/NAND Flash,封測;系統／伺服器,IDM模式自建晶圓廠
南亞科,2408,半導體,記憶體,IDM自有產能,中游,DRAM設計製造(DDR4/DDR5),封測;系統／伺服器,
