from_group,to_group,item
石化上游,樹脂·電子化學品,石化原料
玻纖布,銅箔基板,玻纖布
銅箔,銅箔基板,電解銅箔
樹脂·電子化學品,銅箔基板,樹脂
銅箔基板,PCB,CCL
銅箔基板,IC 載板,CCL
PCB 設備·耗材,PCB,設備／耗材
PCB 設備·耗材,IC 載板,設備／耗材
上游材料,晶圓代工,矽晶圓
上游材料,記憶體,矽晶圓
IC設計,晶圓代工,IC設計圖
IP／ASIC,晶圓代工,IP／設計服務
晶圓代工,封測,晶圓
IC 載板,封測,IC載板
測試介面,封測,測試介面／探針卡
檢測分析,晶圓代工,材料／可靠度分析
半導體設備,晶圓代工,製程設備
半導體設備,封測,封裝設備
自動化／機械,半導體設備,精密傳動元件
光通訊,網通設備,光收發模組／光通訊元件
封測,系統／伺服器,封裝完成IC
記憶體,系統／伺服器,記憶體顆粒
被動元件,系統／伺服器,MLCC等被動元件
散熱,系統／伺服器,散熱模組
PCB,系統／伺服器,PCB
PCB,網通設備,PCB
電源／電池／連接,系統／伺服器,電源／連接器
電力設備,資料中心,變壓器／配電設備
光學／觸控,消費電子,鏡頭／觸控模組
分離式半導體,電源／電池／連接,功率元件／二極體
石英元件·頻率控制元件,網通設備,石英振盪器
石英元件·頻率控制元件,系統／伺服器,石英振盪器
伺服器機構件,系統／伺服器,滑軌／機構五金
光學／觸控,系統／伺服器,面板／觸控模組
IC 載板,系統／伺服器,IC載板
IC設計,系統／伺服器,終端SoC/晶片
上游材料,封測,IC載板/導線架封裝材料
分離式半導體,被動元件,功率MOSFET
分離式半導體,電力設備,功率元件
半導體設備,測試介面,設備／探針卡
封測,光通訊,SiP封裝光收發模組
工業電腦,終端品牌／雲端服務商,工業電腦
散熱,封測,均熱片（先進封裝製程用）
晶圓代工,IC設計,代工產能
測試介面,晶圓代工,探針卡
石化上游,石化中下游加工業,石化基本原料
系統／伺服器,終端品牌／雲端服務商,伺服器／系統
網通設備,終端品牌／雲端服務商,網通設備
被動元件,PCB,MLCC等被動元件
被動元件,電源／電池／連接,MLCC／電容
記憶體,封測,記憶體顆粒
